Player Name,PlayerId,Position,Sport,Team,Salary
Corey Kluber,CKlub00,SP,MLB,CLE,"$4,700,000"
Adam Eaton,AEato00,OF,MLB,CHW,"$2,750,000"
Max Scherzer,MSche00,SP,MLB,WSH,"$22,142,857"
Ian Kinsler,IKins00,2B,MLB,DET,"$14,000,000"
Corey Seager,CSeag00,SS,MLB,LAD,"$510,000"
Carlos Correa,CCorr00,SS,MLB,HOU,"$516,700"
Anthony Rizzo,ARizz00,1B,MLB,CHC,"$5,285,714"
Francisco Lindor,FLind00,SS,MLB,CLE,"$540,300"
Jean Segura,JSegu00,2B,MLB,ARI,"$2,600,000"
Dustin Pedroia,DPedr00,2B,MLB,BOS,"$12,642,511"
Johnny Cueto,JCuet00,SP,MLB,SF,"$17,500,000"
Clayton Kershaw,CKers00,SP,MLB,LAD,"$33,000,000"
Tanner Roark,TRoar00,SP,MLB,WSH,"$543,000"
Masahiro Tanaka,MTana00,SP,MLB,NYY,"$22,000,000"
Carlos Martinez,CMart00,SP,MLB,STL,"$539,000"
Jackie Bradley Jr.,JBrad00,OF,MLB,BOS,"$546,500"
Jon Lester,JLest00,SP,MLB,CHC,"$25,000,000"
Christian Yelich,CYeli00,OF,MLB,MIA,"$1,000,000"
Noah Syndergaard,NSynd00,SP,MLB,NYM,"$535,375"
DJ LeMahieu,DLeMa00,2B,MLB,COL,"$3,000,000"
Jose Quintana,JQuin00,SP,MLB,CHW,"$5,400,000"
David Ortiz,DOrti00,DH,MLB,BOS,"$16,000,000"
Rick Porcello,RPorc00,SP,MLB,BOS,"$20,125,000"
Madison Bumgarner,MBumg00,SP,MLB,SF,"$9,916,667"
George Springer,GSpri00,OF,MLB,HOU,"$522,400"
Kyle Hendricks,KHend00,SP,MLB,CHC,"$541,000"
Cole Hamels,CHame00,SP,MLB,TEX,"$22,500,000"
Justin Turner,JTurn00,3B,MLB,LAD,"$5,100,000"
Starling Marte,SMart00,OF,MLB,PIT,"$3,333,333"
Chris Sale,CSal00,SP,MLB,CHW,"$9,150,000"
Miguel Cabrera,MCabr00,1B,MLB,DET,"$28,000,000"
Michael Fulmer,MFulm00,SP,MLB,DET,"$507,500"
Paul Goldschmidt,PGold00,1B,MLB,ARI,"$5,833,333"
Julio Teheran,JTehe00,SP,MLB,ATL,"$3,466,666"
Aaron Sanchez,ASanc00,SP,MLB,TOR,"$517,800"
Buster Posey,BPose00,C,MLB,SF,"$20,777,778"
Nelson Cruz,NCruz00,OF,MLB,SEA,"$14,250,000"
